Origin Code,Notes,Domain,Tier,Search Engine,Click Date,Impressions,Clicks,Engine CTR,Picks,LP CTR,CPC,RPC,RPP,Cost,Rev,Margin,ROI
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,-,14881374,309356,2.08%,156498,50.59%,0.001,0.002,0.004,$438.08 ,$606.32 ,$168.23 ,1.384
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/13/13,574194,11573,2.02%,5890,50.89%,0.002,0.002,0.004,$18.37 ,$23.39 ,$5.03 ,1.274
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/14/13,537764,10645,1.98%,5115,48.05%,0.002,0.002,0.005,$17.59 ,$24.01 ,$6.41 ,1.365
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/15/13,457362,9412,2.06%,4659,49.50%,0.002,0.002,0.004,$16.18 ,$20.70 ,$4.52 ,1.28
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/16/13,366241,9998,2.73%,5381,53.82%,0.002,0.002,0.004,$16.94 ,$22.37 ,$5.44 ,1.321
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/17/13,407772,8693,2.13%,4470,51.42%,0.002,0.002,0.004,$17.09 ,$19.24 ,$2.14 ,1.125
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/18/13,580147,11491,1.98%,5816,50.61%,0.001,0.002,0.004,$16.77 ,$22.96 ,$6.19 ,1.369
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/19/13,577391,11901,2.06%,6070,51.00%,0.002,0.002,0.004,$21.53 ,$24.22 ,$2.69 ,1.125
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/20/13,572859,11398,1.99%,5608,49.20%,0.001,0.002,0.004,$16.24 ,$24.03 ,$7.79 ,1.48
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/21/13,543243,10734,1.98%,5366,49.99%,0.002,0.002,0.004,$18.31 ,$23.51 ,$5.20 ,1.284
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/22/13,474174,9569,2.02%,5027,52.53%,0.002,0.002,0.005,$15.35 ,$23.50 ,$8.16 ,1.531
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/23/13,420372,9194,2.19%,4737,51.52%,0.001,0.002,0.005,$13.18 ,$21.55 ,$8.38 ,1.636
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/24/13,473974,9888,2.09%,4861,49.16%,0.002,0.002,0.004,$18.52 ,$21.47 ,$2.95 ,1.159
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/25/13,627433,12470,1.99%,6211,49.81%,0.001,0.002,0.005,$18.55 ,$29.80 ,$11.25 ,1.606
4800 - Expansion- Health 2013,Intraday LD,ABC,other,XYZ,3/26/13,598456,11763,1.97%,5880,49.99%,0.002,0.002,0.004,$20.60 ,$23.90 ,$3.30 ,1.16
