Inc,Home,Health,Auto,Finance,Real Estate
0,1,1,1,1,1
0.01,1,1,1,1,1
0.02,1,1,1,1,1
0.03,1,1,1,1,1
0.04,1,1,1,1,1
0.05,1,1,1,1,1
0.06,1,1,1,1,1
0.07,1,1,1,1,1
0.08,1,1,1,1,1
0.09,1,1,1,1,1
0.1,1,1,1,1,1
0.11,1,1,1,1,1
0.12,1,1,1,1,1
0.13,1,2,1,2,1
0.14,1,2,1,2,1
0.15,1,2,1,2,1
0.16,1,2,1,2,1
0.17,1,2,1,2,1
0.18,1,2,1,2,1
0.19,1,3,1,2,1
0.2,1,3,1,2,1
0.21,1,3,1,2,1
0.22,1,3,1,3,1
0.23,1,3,1,3,1
0.24,1,3,1,3,1
0.25,1,3,1,3,1
0.26,1,3,1,3,1
0.27,1,4,1,3,1
0.28,1,4,1,3,1
0.29,1,4,1,3,1
0.3,1,4,2,3,1
0.31,1,4,2,3,1
0.32,1,4,2,3,1
0.33,1,4,2,3,1
0.34,1,4,2,3,1
0.35,2,4,2,3,1
0.36,2,5,2,3,1
0.37,2,5,2,4,1
0.38,2,5,2,4,1
0.39,2,5,2,4,1
0.4,2,5,2,4,1
0.41,2,5,2,4,1
0.42,2,5,2,4,1
0.43,2,5,2,4,2
0.44,2,5,2,4,2
0.45,2,5,2,4,2
0.46,2,5,2,4,2
0.47,2,5,2,4,2
0.48,2,6,3,4,2
0.49,2,6,3,4,2
0.5,2,6,3,4,2
0.51,2,6,3,4,2
0.52,2,6,3,4,2
0.53,2,6,3,4,2
0.54,2,6,3,4,2
0.55,3,6,3,4,2
0.56,3,6,3,4,2
0.57,3,6,3,4,2
0.58,3,6,3,5,2
0.59,3,6,3,5,2
0.6,3,6,3,5,2
0.61,3,6,3,5,2
0.62,3,6,3,5,2
0.63,3,6,3,5,3
0.64,3,7,3,5,3
0.65,3,7,3,5,3
0.66,3,7,3,5,3
0.67,3,7,4,5,3
0.68,3,7,4,5,3
0.69,3,7,4,5,3
0.7,4,7,4,5,3
0.71,4,7,4,5,3
0.72,4,7,4,5,3
0.73,4,7,4,5,3
0.74,4,7,4,5,3
0.75,4,7,4,5,4
0.76,4,7,4,5,4
0.77,4,7,4,5,4
0.78,4,7,4,5,4
0.79,4,7,4,5,4
0.8,4,7,4,6,4
0.81,5,7,4,6,4
0.82,5,7,4,6,4
0.83,5,7,5,6,5
0.84,5,7,5,6,5
0.85,5,7,5,6,5
0.86,5,8,5,6,5
0.87,5,8,5,6,5
0.88,5,8,5,6,5
0.89,6,8,5,6,6
0.9,6,8,5,6,6
0.91,6,8,5,6,6
0.92,6,8,5,6,6
0.93,6,8,6,7,6
0.94,6,8,6,7,7
0.95,7,8,6,7,7
0.96,7,8,6,7,7
0.97,7,8,6,7,8
0.98,7,8,7,8,8
0.99,7,8,7,8,8
1,8,8,8,8,8
